run_id,run_name,model,sequence,iou,dice,temporal_consistency,failure_rate,processing_time,total_frames,precision,recall
1byybslu,samurai_loading,samurai,loading,0.5316927968415134,0.693654886150806,0.0,1.0,51,25,0.9967335756809441,0.5633798622743347
xqxq6p0b,tsp_sam_longboard,tsp_sam,longboard,0.6790256103313673,0.8084786281165749,0.7156270335595426,0.0,20,25,0.8157238838318163,0.877126543929154
oyq8h4dt,samurai_longboard,samurai,longboard,0.2781871505892217,0.43425638716582704,0.0,1.0,8,25,0.3132137679000576,0.6943160304671333
p81rfbbu,tsp_sam_lucia,tsp_sam,lucia,0.8030447778211359,0.8902309003180645,0.9011895321173672,0.0,20,25,0.9300570278430057,0.932402892214562
911o7can,samurai_lucia,samurai,lucia,0.8504313439924366,0.9190950707815767,0.0,0.0,8,25,0.9444218033622007,0.924638403990025
qgryuweb,tsp_sam_mallard-fly,tsp_sam,mallard-fly,0.8357000297544113,0.9103471191253513,0.6042288557213931,0.0,20,25,0.8813241723922548,0.948890383322125
baq6135v,samurai_mallard-fly,samurai,mallard-fly,0.927229889195151,0.9622061984559845,0.0,0.0,8,25,0.9407589665941137,0.9990954773869347
mdqlkj11,tsp_sam_mallard-water,tsp_sam,mallard-water,0.8478019103144442,0.9175098411017651,0.9281483790523691,0.0,20,25,0.9134584276933031,0.9248280379954144
k85kvrgh,samurai_mallard-water,samurai,mallard-water,0.9655303399247223,0.9824506843128366,0.0,0.0,11,25,0.96392776096823,0.99429435287233
ttxoqm4k,tsp_sam_mbike-trick,tsp_sam,mbike-trick,0.8657635648938948,0.9279890803620474,0.8656413232733604,0.0,20,25,0.8866459627329193,0.8795440542205791
xgrjg7h9,samurai_mbike-trick,samurai,mbike-trick,0.9638531947810749,0.9815892014496957,0.0,0.0,8,25,0.9679819837462058,0.9690256812389727
mv065f7w,tsp_sam_miami-surf,tsp_sam,miami-surf,0.5248061516793081,0.6873724474761974,0.6660493827160494,0.52,20,25,0.5769867549668874,0.6501865671641791
dawofbxg,samurai_miami-surf,samurai,miami-surf,0.5622147911014127,0.7168298317555785,0.0,0.88,8,25,0.8427707531610775,0.2906161137440758
sjr7hoyr,tsp_sam_motocross-bumps,tsp_sam,motocross-bumps,0.8341600233038079,0.9093735069887638,0.6440113602977181,0.0,20,25,0.9200766542667117,0.9341879363625959
e5g0vd1z,samurai_motocross-bumps,samurai,motocross-bumps,0.9280274223572471,0.9625271099930495,0.0,0.0,8,25,0.9537322640345466,0.9927651012457726
j1aw67eu,tsp_sam_motocross-jump,tsp_sam,motocross-jump,0.8216846966869875,0.9008666802483289,0.5785592860178496,0.44,20,25,0.8576390758791534,0.9461442490494296
jwr04z2l,samurai_motocross-jump,samurai,motocross-jump,0.9340654381760584,0.9657465313216721,0.0,0.0,11,25,0.971266201006399,0.984630309109627
18y9afde,tsp_sam_motorbike,tsp_sam,motorbike,0.8102307721860568,0.8912744059579529,0.5474643874643874,0.04,20,25,0.8113744075829384,0.7848068107400131
34ifzjnd,samurai_motorbike,samurai,motorbike,0.9075407270623653,0.9513029145329422,0.0,0.0,8,25,0.9066432909648738,0.969989281886388
rw2bw39w,tsp_sam_night-race,tsp_sam,night-race,0.6978991789254633,0.8207739100395554,0.8453738910012675,0.0,20,25,0.8917691579943235,0.8527229962004704
aywh4qft,samurai_night-race,samurai,night-race,0.766501457957103,0.8629527527885423,0.0,0.72,8,25,0.9896220703969558,0.708632648005945
fmbqa2v3,tsp_sam_paragliding,tsp_sam,paragliding,0.7766036583793491,0.8734337373497898,0.7568974492451848,0.0,20,25,0.6595991867557363,0.9631043256997456
twxwcutn,samurai_paragliding,samurai,paragliding,0.9646480306946722,0.9819750216259151,0.0,0.0,8,25,0.9800995024875622,0.9941963159222811
pnzdua91,tsp_sam_paragliding-launch,tsp_sam,paragliding-launch,0.7226155178115071,0.8387181954890718,0.8354336545589326,0.0,20,25,0.821313065976714,0.8168221293020264
qn8xjomu,samurai_paragliding-launch,samurai,paragliding-launch,0.8470260340242072,0.9169940412906942,0.0,0.0,8,25,0.9020710059171597,0.8902189781021898
sfoyk9vj,tsp_sam_parkour,tsp_sam,parkour,0.7160030784493732,0.8338198553777316,0.5889359983848172,0.0,20,25,0.8756045137023106,0.7379981884057971
9pso2heb,samurai_parkour,samurai,parkour,0.943673675480882,0.9710107231785997,0.0,0.0,9,25,0.9648969938383021,0.9962727331148383
0eyvgt2g,tsp_sam_pigs,tsp_sam,pigs,0.8517247091536602,0.9198037935505627,0.9417276437489435,0.0,20,25,0.9215158985085032,0.9229407217137584
mviwth8n,samurai_pigs,samurai,pigs,0.6203979751746064,0.7656554619673535,0.0,1.0,43,25,0.9963006718457261,0.6346946222499278
hf6r796n,tsp_sam_planes-water,tsp_sam,planes-water,0.6510686668060779,0.7885667792376364,0.9270952331498598,0.0,20,25,0.7620073228516046,0.7939410939691445
xxj6cacv,samurai_planes-water,samurai,planes-water,0.8637053321637209,0.9267866693463609,0.0,0.0,9,25,0.9791467275270559,0.9019378464981436
5zvuuaqi,tsp_sam_rallye,tsp_sam,rallye,0.44343235204278586,0.5792272773509533,0.9108996539792388,0.04,20,25,0.8782452999104745,0.9176800748362957
d6wxnl6g,samurai_rallye,samurai,rallye,0.9120146787766815,0.9538520361485778,0.0,0.0,8,25,0.9778365861726761,0.9672774869109948
9ha7ptac,tsp_sam_rhino,tsp_sam,rhino,0.8683804429866623,0.9294195055113831,0.948190302754382,0.0,20,25,0.9531191104410102,0.9543781845631251
8r3j6iqu,samurai_rhino,samurai,rhino,0.9758646016044907,0.9877743233520943,0.0,0.0,13,25,0.9948690905462994,0.9884310393656188
ynjkpryf,tsp_sam_rollerblade,tsp_sam,rollerblade,0.6996520918090431,0.8226741875378849,0.4562055591467356,0.0,20,25,0.8539445628997868,0.8570511448748127
tg68jay7,samurai_rollerblade,samurai,rollerblade,0.9515462146774151,0.9751261894378637,0.0,0.0,8,25,0.9750427096486667,0.9679250847957528
erkc98ko,tsp_sam_schoolgirls,tsp_sam,schoolgirls,0.3804526818936123,0.5501922407986106,0.7778667054714785,1.0,20,25,0.5405935737061565,0.4431932435149809
3gkt0j6j,samurai_schoolgirls,samurai,schoolgirls,0.6183473785833238,0.7587773948999381,0.0,0.88,8,25,0.9168381023626956,0.31440665284220876
y35a4o6r,tsp_sam_scooter-black,tsp_sam,scooter-black,0.4865520867608344,0.6425446275381458,0.5699670954232725,0.4,20,25,0.8056338028169014,0.81043377170675
9w70jk8c,samurai_scooter-black,samurai,scooter-black,0.9303934717611171,0.9637605437962232,0.0,0.0,8,25,0.9784801100188458,0.9859122401847575
t1v0dtzq,tsp_sam_scooter-board,tsp_sam,scooter-board,0.5122677587119707,0.6690726772216486,0.5620755925688661,0.64,20,25,0.8798043326345213,0.8693250474710857
twrb337j,samurai_scooter-board,samurai,scooter-board,0.838303120823275,0.9116398695707564,0.0,0.0,10,25,0.9779912337965122,0.7949514857489387
e3111bgy,tsp_sam_scooter-gray,tsp_sam,scooter-gray,0.4398663601059558,0.5934097226701011,0.784512467058585,0.56,20,25,0.8510151347360649,0.8584301459636581
6200x26o,samurai_scooter-gray,samurai,scooter-gray,0.9179160591154516,0.9570954025109428,0.0,0.0,8,25,0.9441606926089645,0.9938521625922175
c36p0qr1,tsp_sam_sheep,tsp_sam,sheep,0.6592148392948297,0.7938309953063991,0.9066682891214407,0.0,20,25,0.8500780843310776,0.83604249328043
6fg82qgc,samurai_sheep,samurai,sheep,0.5772502203788933,0.7305599279259434,0.0,1.0,9,25,0.9872681981732632,0.44967853090725723
c4f10x7m,tsp_sam_shooting,tsp_sam,shooting,0.7774990895506373,0.8737812920931642,0.5892171105730428,0.08,20,25,0.7346316474223451,0.6224465189982431
nc0kogik,samurai_shooting,samurai,shooting,0.9416552831010062,0.9698174559377708,0.0,0.0,27,25,0.9991918510164027,0.9640139831379807
